Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x544951c9a2a2b6dbd05249a3fa8f2281c39c008b0db6d42837411e284db80e73","Success","Swap ETH","23441982","2025-09-25 18:56:23","0xe210475c44be21740050426501585eef20319cb5","airdeni.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.318264837 ETH","$1,371.28","0.00158352"
"0x47b26013460d512474254ab494ed936a27a3c4609329a39268f286d199455098","Success","Swap ETH","23438478","2025-09-25 07:11:59","0xe0a1e9a5a4fb19d21fd7b68d93777bafdc7d7858","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","2.255977267 ETH","$9,720.15","0.00011988"
"0xb09022ee8942f4ca054e63c4c42e1d4f0f1bdfa75c15c9a7acc7b7300e67710a","Success","Swap ETH","23437407","2025-09-25 03:35:35","0x3ffcd8afc3022af5121a47b85f4084eff6db4795","lezar.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.015487733 ETH","$66.73","0.00029526"
"0x022f4aa3d7db0883c7884fec269e1e3aa00db1bc183e1e7ff0d71655e1eee8e5","Success","Swap ETH","23436384","2025-09-25 00:09:59","0x4ee9ca7c248e254e72af92d1549819d12f1fdfb6","rodrigodt.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.005221001 ETH","$22.50","0.00008975"
"0xad74421245018227cad5a3d90cc84eac90c6fe829a03bf9a135d5ed92a93dfba","Success","Swap ETH","23433290","2025-09-24 13:47:23","0xc2d35e0a4067cb30c3de344b108f1a6555d92d7b","sathimanna.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.125243201 ETH","$539.63","0.00037128"
"0xec431a9bb691a0c89d1c42ee1aa8bfaa469d48c89aee91903fbc9df3f508cfb5","Success","Swap ETH","23429990","2025-09-24 02:43:59","0xafd11b4308cf1add35c3d7a322a80b9eccedeba7","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.003956158 ETH","$17.05","0.00006014"
"0xb3541fc0c8520f4f4b86d1cfb903f0642364c3c18365e23e72c100ecbd56bb2c","Success","Swap ETH","23421965","2025-09-22 23:51:47","0x741f3654e0c97f8a7f84deecedcd5e3104756b4d","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.00989218 ETH","$42.62","0.00007518"
"0x6ed2f58d962d4390a3fdafe22ea2fee77e5f68a337af6654798db6e1c97fe629","Success","Swap ETH","23420551","2025-09-22 19:07:35","0xfd30dd81bc86c31303b8d4323db22465f2fa9dec","stasbaretskiy.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.23918641 ETH","$1,030.56","0.00011608"
"0x3f20625c0080519e8be86f72a3f0bcc72b873f4ab304bccfc2486699b5a31574","Success","Swap ETH","23419854","2025-09-22 16:47:35","0x08352d1dee7f7aefb6e5dd213fe36d7036173023","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.00384111 ETH","$16.55","0.00057591"
"0x6d4b3c1c507d1363b1938b8d63c8eec113581aa7d1fe5100898ae28fe35f4e85","Success","Swap ETH","23419531","2025-09-22 15:42:23","0x300fe7f38e10bbc668339bcdb5b1a7b36eea1678","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.050260303 ETH","$216.55","0.00067708"
"0x45eaa2f3e9793598687e822ebd792fbbc1f7aefbafb91998e0a1b4978979c4ba","Success","Swap ETH","23418952","2025-09-22 13:46:11","0xeb95931c23c66e08f786958bc06fbb3010589a1c","","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.004760413 ETH","$20.51","0.00027886"
"0x60cce99a5da4e2ca6ffdbef5e32dc5ef3227e9e38e57473fcd7c0ad56746fdb2","Success","Swap ETH","23414872","2025-09-22 00:03:11","0xdd36e240de1e05f99c939d99fc5a0c3a4e053636","krejzolek.eth","0x150f94b44927f078737562f0fcf3c95c01cc2376","Stargate Finance: ETH Router 2","0.055331231 ETH","$238.40","0.00043338"
